npack,ne,GPU time (ms),GPU GFLOPS
32000,1050,324.487,108.726
33000,1050,334.904,108.636
34000,1050,361.216,103.775
35000,1050,371.442,103.886
36000,1050,364.99,108.743
37000,1050,392.384,103.961
38000,1050,384.811,108.872
39000,1050,412.166,104.321
40000,1050,406.84,108.396
1000,1100,12.6014,96.021
2000,1100,22.4976,107.567
3000,1100,33.0025,109.992
4000,1100,42.9338,112.732
5000,1100,57.8502,104.58
6000,1100,64.9465,111.784
7000,1100,76.3807,110.892
8000,1100,86.7125,111.633
9000,1100,104.087,104.624
10000,1100,109.386,110.617
11000,1100,127.407,104.468
12000,1100,131.836,110.137
13000,1100,143.271,109.792
14000,1100,154.66,109.531
15000,1100,172.905,104.971
16000,1100,176.003,109.998
17000,1100,195.858,105.025
18000,1100,207.377,105.026
19000,1100,208.611,110.205
20000,1100,220.886,109.559
21000,1100,242.464,104.799
22000,1100,242.921,109.583
23000,1100,264.213,105.332
24000,1100,275.043,105.583
25000,1100,276.645,109.346
26000,1100,299.16,105.161
27000,1100,297.257,109.905
28000,1100,307.265,110.263
29000,1100,321.377,109.186
30000,1100,330.075,109.975
31000,1100,340.483,110.167
32000,1100,352.711,109.778
33000,1100,377.55,105.761
34000,1100,374.158,109.954
35000,1100,401.429,105.498
36000,1100,413.935,105.234
37000,1100,407.133,109.964
38000,1100,417.257,110.196
39000,1100,447.336,105.491
40000,1100,439.957,110.011
1000,1150,13.8139,95.7367
2000,1150,24.7234,106.984
3000,1150,35.546,111.616
4000,1150,49.6272,106.595
5000,1150,58.4501,113.131
6000,1150,69.0702,114.883
7000,1150,85.3279,108.493
8000,1150,92.2332,114.709
9000,1150,104.842,113.527
10000,1150,117.495,112.558
11000,1150,128.563,113.155
12000,1150,146.517,108.315
13000,1150,159.879,107.535
14000,1150,165.006,112.208
15000,1150,175.631,112.95
16000,1150,186.561,113.421
17000,1150,200.454,112.158
18000,1150,220.592,107.914
19000,1150,224.478,111.938
20000,1150,234.452,112.816
21000,1150,246.771,112.544
22000,1150,269.435,107.985
23000,1150,269.823,112.731
24000,1150,283.053,112.134
25000,1150,294.982,112.083
26000,1150,304.823,112.803
27000,1150,329.058,108.514
28000,1150,329.203,112.484
29000,1150,342.238,112.064
30000,1150,366.198,108.343
31000,1150,363.669,112.733
32000,1150,373.638,113.265
33000,1150,388.286,112.398
34000,1150,414.8,108.402
35000,1150,408.848,113.214
36000,1150,437.461,108.833
37000,1150,452.515,108.134
38000,1150,446.67,112.51
39000,1150,456.499,112.985
40000,1150,485.374,108.988
